code,description,approach
10000000,Petty Cash Fund - HO Admin,main
10000001,Petty Cash Fund - Site,main
10000002,Petty Cash Fund - HO Purchasing,main
10000003,Petty Cash Fund - HO Legal,main
10000004,Petty Cash Fund - HO Gov Rel,main
10000005,Petty Cash Fund - HO Corp Comm,main
10000006,Emergency Fund Site,main
10100000,SBC PHP - Main,main
10100001,SBC PHP - Receipts,main
10100002,SBC PHP - Disbursements,main
10100003,SBC PHP - Others,main
10100010,SBC USD - Main,main
10100011,SBC USD - Receipts,main
10100012,SBC USD - Disbursements,main
10100013,SBC USD - Others,main
10100014,SBC USD - Foreign Currency Adjustment,main
10101000,BDO PHP - Main,main
10101001,BDO PHP - Receipts,main
10101002,BDO PHP - Disbursements,main
10101003,BDO PHP - Others,main
10101010,BDO USD - Main,main
10101011,BDO USD - Receipts,main
10101012,BDO USD - Disbursements,main
10101013,BDO USD - Others,main
10101014,BDO USD - Foreign Currency Adjustment,main
10102000,BPI PHP - Main,main
10102001,BPI PHP - Receipts,main
10102002,BPI PHP - Disbursements,main
10102003,BPI PHP - Others,main
10102010,BPI USD - Main,main
10102011,BPI USD - Receipts,main
10102012,BPI USD - Disbursements,main
10102013,BPI USD - Others,main
10102014,BPI USD - Foreign Currency Adjustment,main
10103000,BPI Family PHP - Main,main
10103001,BPI Family PHP - Receipts,main
10103002,BPI Family PHP - Disbursements,main
10103003,BPI Family PHP - Others,main
10103010,BPI Family USD - Main,main
10103011,BPI Family USD - Receipts,main
10103012,BPI Family USD - Disbursements,main
10103013,BPI Family USD - Others,main
10103014,BPI Family USD - Foreign Currency Adjustment,main
10104000,Maybank PHP - Main,main
10104001,Maybank PHP - Receipts,main
10104002,Maybank PHP - Disbursements,main
10104003,Maybank PHP - Others,main
10104010,Maybank USD - Main,main
10104011,Maybank USD - Receipts,main
10104012,Maybank USD - Disbursements,main
10104013,Maybank USD - Others,main
10104014,Maybank USD - Foreign Currency Adjustment,main
10105000,RCBC PHP - Main,main
10105001,RCBC PHP - Receipts,main
10105002,RCBC PHP - Disbursements,main
10105003,RCBC PHP - Others,main
10105010,RCBC USD - Main,main
10105011,RCBC USD - Receipts,main
10105012,RCBC USD - Disbursements,main
10105013,RCBC USD - Others,main
10105014,RCBC USD - Foreign Currency Adjustment,main
10106000,Union Bank PHP - Main,main
10106001,Union Bank PHP - Receipts,main
10106002,Union Bank PHP - Disbursements,main
10106003,Union Bank PHP - Others,main
10106010,Union Bank USD - Main,main
10106011,Union Bank USD - Receipts,main
10106012,Union Bank USD - Disbursements,main
10106013,Union Bank USD - Others,main
10106014,Union Bank USD - Foreign Currency Adjustment,main
10107000,MBTC PHP - Main,main
10107001,MBTC PHP - Receipts,main
10107002,MBTC PHP - Disbursements,main
10107003,MBTC PHP - Others,main
10108000,DBP PHP - Main,main
10108001,DBP PHP - Receipts,main
10108002,DBP PHP - Disbursements,main
10108003,DBP PHP - Others,main
10109000,UCPB PHP - Main,main
10109001,UCPB PHP - Receipts,main
10109002,UCPB PHP - Disbursements,main
10109003,UCPB PHP - Others,main
10110000,Cantilan PHP - Main,main
10110001,Cantilan PHP - Receipts,main
10110002,Cantilan PHP - Disbursements,main
10110003,Cantilan PHP - Others,main
10800000,Cash under Managed Funds PHP,main
10801000,Cash under Managed Funds USD,main
10900000,Short Term Investments PHP =/< 3 months,main
10901000,Short Term Investments USD =/< 3 months,main
10910000,Short Term Inv USD =/< 3 months Adjustments,main
11000000,Trade Receivables Domestic,main
11000001,Trade Receivables Domestic - One Time Accounts,main
11000002,Trade Receivables Foreign,main
11000003,Trade Receivables Foreign - One Time Accounts,main
11099000,Trade Receivables Adjustments,main
11100000,Receivables Affiliated Companies,main
11100001,Receivables Affiliated Companies - Others,main
11150000,Receivables Affiliated Companies Adjustments,main
11150001,Interdivision Clearing - PEZA,main
11200000,Advances - Employee Loans,main
11200001,Advances - Officers and Employees,main
11200002,Advances - Subject to Liquidation,main
11201000,Interest Receivables - Loans PHP,main
11201001,Interest Receivables - Loans USD,main
11202000,Despatch Receivable,main
11202001,Guarantee Fee Receivable,main
11202002,Other Receivables Domestic - One Time Accounts,main
11202003,Other Receivables - NT,main
11203000,Down Payment Requests - Vendors,main
11203001,Down Payment Noted Item - Vendors,main
11203002,Input VAT Clearing on Down Payments,main
11210000,Allowance for Doubtful Receivables - Trade,main
11210001,Allowance for Doubtful Receivables - Nontrade,main
11250000,Short-term Loan Receivables,main
11250001,Long-term Loan Receivables - Current,main
11250100,Dividend Receivables - Affiliates,main
11250101,Dividend Receivables - Others,main
11250200,Interest Receivables - Others PHP,main
